handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
ds-111939,PRODUCT,Thomas Sabo Sterling Silver Venezianer Kette 925 rosé,false,"<p>925 Silber rosévergoldet, Venezianer rund, Länge: 50cmReferenz: KE1106-415-12-L50vVerfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",schmuck;colliers;thomas-sabo,schmuck,,,,Thomas Sabo,139,,,,,,40.45,1,false,,,111939,KE1106-415-12-L50v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-128431,PRODUCT,Certina DS 1,true,"<p>Edelstahlgehäuse, Lederband braun mit einer Faltschliesse, braunes Zifferblatt Open Heart, Saphirglas, automatisches Uhrwerk, Durchmesser: 40mm, 10bar Wasserdicht, zwei Jahre GarantieReferenz: C029.907.16.081.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,uhren,,,,Certina,930,,,,,,515.3,1,false,,,128431,C029.907.16.081.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-128431,MEDIA,,,,,,6673aa_3a870dd31d664073bb7e0dfd5f80a377~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-124651,PRODUCT,Certina DS Powermatic 80,true,"<p>Edelstahlgehäuse rosévergoldet, weisses Zifferblatt, Datum, Natoband, Automat, 80h Gangreserve, Saphirglas, 10bar Wasserdicht, zwei Jahre GarantieReferenz: C038.407.38.037.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;sale;herrenuhren;certina,uhren,,,,Certina,560,935,,,,,495.8,1,false,,,124651,C038.407.38.037.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-124651,MEDIA,,,,,,6673aa_659e89285cdc435384faaf12c6835c28~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-124618,PRODUCT,Certina DS Powermatic 80,true,"<p>Edelstahlgehäuse PVD rosé, braunes Zifferblatt, Datum, Saphirglas, braunes Lederband, Automat, Powermatic 80, 10bar Wasserdicht, zwei Jahre GarantieReferenz: C038.407.36.087.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,uhren,,,,Certina,935,,,,,,495.8,1,false,,,124618,C038.407.36.087.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-124618,MEDIA,,,,,,6673aa_1c44bf9add444a388704318ce1639c30~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-124618,MEDIA,,,,,,6673aa_df00b146c3064c009c898ba994395ccd~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-133289,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse und -band aus Edelstahl / PVD gelb, Oberfläche: matt / poliert, Quarzwerk, Zifferblatt silber mit Datumsanzeige, Saphirglas, 10bar Wasserdicht, Durchmesser: 31mm, zwei Jahre GarantieReferenz: C045.010.55.031.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;damenuhren;certina,uhren,,,,Certina,530,,,,,,294.15,1,false,,,133289,C045.010.55.031.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-133289,MEDIA,,,,,,6673aa_52ce0848a1f94b42a1f6671cd0812aa1~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132916,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse und Band aus Edelstahl und PVD gelb, Oberfläche: matt / poliert, Quarzwerk, Zifferblatt silber mit Datumsanzeige, Saphirglas, 10bar Wasserdicht, Durchmesser: 40mm, zwei Jahre GarantieReferenz: C045.410.22.031.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;damenuhren;certina,uhren,,,,Certina,470,,,,,,260.85,1,false,,,132916,C045.410.22.031.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132916,MEDIA,,,,,,6673aa_6f6e0436ca4846c1a056b8206a3a48b1~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132915,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse und -band aus Edelstahl, Oberfläche: matt / poliert, Quarzwerk, Zifferblatt silber mit Datumsanzeige, Saphirglas, 10bar Wasserdicht, Durchmesser: 31mm, zwei Jahre GarantieReferenz: C045.010.11.011.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;damenuhren;certina,,,,,Certina,370,,,,,,205.35,1,false,,,132915,C045.010.11.011.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132915,MEDIA,,,,,,6673aa_32f9187c9ce94cc18e22ec5e656e07c9~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132263,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse, Oberfläche: poliert, mit einem Lederband schwarz, Quarzwerk, Zifferblatt schwarz mit einer Datumsanzeige und Mondphase, Saphirglas, 10bar Wasserdicht, Durchmesser: 38mm, zwei Jahre GarantieReferenz: C045.423.16.051.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,uhren,,,,Certina,370,,,,,,205.35,1,false,,,132263,C045.423.16.051.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132263,MEDIA,,,,,,6673aa_c812b005d6bb4458882e753c45611391~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132262,PRODUCT,Certina DS 8,true,"<p>Gehäuse und -band aus Edelstahl, Oberfläche: matt / poliert, Quarzwerk, Zifferblatt schwarz mit Datumsanzeige und Chronograph, Saphirglas, 10bar Wasserdicht, Durchmesser: 41mm, zwei Jahre GarantieReferenz: C045.417.11.051.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,uhren,,,,Certina,520,,,,,,288.6,1,false,,,132262,C045.417.11.051.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132262,MEDIA,,,,,,6673aa_3c9a2ace72be4f93895633241aec40b7~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132261,PRODUCT,Certina DS 8,true,"<p>Gehäuse und Band aus Edelstahl Bicolor PVD gelb, Oberfläche: poliert / mattiert, Quarzwerk EOL, Zifferblatt Perlmutt mit einer Datumsanzeige und Mondphase, Saphirglas, 10bar Wasserdicht, Durchmesser: 32mm, zwei Jahre GarantieReferenz: C045.223.22.111.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;damenuhren;certina,uhren,,,,Certina,470,,,,,,260.85,1,false,,,132261,C045.223.22.111.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132261,MEDIA,,,,,,6673aa_21fcb41785f946d29b1a33e09ddbc2d3~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132261,MEDIA,,,,,,6673aa_3a304056e85f45c19910338612d7fcca~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132261,MEDIA,,,,,,6673aa_f45d5a6ddb3c4534820b1a02a2b7ab7c~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-132261,MEDIA,,,,,,6673aa_86cf31aaa84b4b6095b90dde408eadd0~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-131697,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse, Oberfläche: poliert, mit einem Lederband schwarz, Quarzwerk, Zifferblatt silber mit einer Datumsanzeige, Saphirglas, 10bar Wasserdicht, Durchmesser: 40mm, zwei Jahre GarantieReferenz: C045.410.16.032.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,uhren,,,,Certina,335,,,,,,185.95,1,false,,,131697,C045.410.16.032.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-131697,MEDIA,,,,,,6673aa_34c61bb3786c42728701c3669053673b~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-129917,PRODUCT,Certina DS 8,true,"<p>Gehäuse und -band aus Titan, Oberfläche: matt / poliert, Quarzwerk, Zifferblatt blau mit Datumsanzeige, Saphirglas, 10bar Wasserdicht, Durchmesser: 40mm, zwei Jahre GarantieReferenz: C045.410.44.041.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,,,,,Certina,525,,,,,,291.4,1,false,,,129917,C045.410.44.041.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-129917,MEDIA,,,,,,6673aa_a6f47f292e4e47199d828e2577cad079~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-129886,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse aus Edelstahl und PVD gelb, mit einem Lederband braun, Oberfläche: matt / poliert, Quarzwerk, Zifferblatt silber, Saphirglas, 10bar Wasserdicht, Durchmesser: 40mm, zwei Jahre GarantieReferenz: C045.410.26.031.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",herrenuhren;uhren;certina,uhren,,,,Certina,370,,,,,,205.35,1,false,,,129886,C045.410.26.031.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-129886,MEDIA,,,,,,6673aa_10d43e91e88e4262aec8988228bb2932~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
